id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
1210,7568,Cabbage,CAB,cabbage,1,2016-04-04T22:20:00.000Z,2024-02-05T20:50:00.000Z,
1212,7569,MojoCoin,MOJO,mojocoin,1,2016-04-06T19:30:00.000Z,2024-02-05T20:50:00.000Z,
1214,250,Lisk,LSK,lisk,1,2016-04-06T20:15:00.000Z,2024-02-05T20:50:00.000Z,
1216,7570,EDRCoin,EDRC,edrcoin,1,2016-04-08T17:20:00.000Z,2024-02-05T20:50:00.000Z,
1218,7571,PostCoin,POST,postcoin,1,2016-04-08T17:20:00.000Z,2024-02-05T20:50:00.000Z,
1223,7572,BERNcash,BERN,berncash,1,2016-04-11T07:00:00.000Z,2024-02-05T20:45:00.000Z,
1229,7573,DigixDAO,DGD,digixdao,1,2016-04-18T16:15:00.000Z,2024-02-05T20:45:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe0b7927c4af23765cb51314a0e0521a9645f0e2a'}"
1230,354,Steem,STEEM,steem,1,2016-04-18T16:15:00.000Z,2024-02-05T20:45:00.000Z,
1241,7574,FuzzBalls,FUZZ,fuzzballs,1,2016-05-01T00:05:00.000Z,2024-02-05T20:50:00.000Z,
1244,7575,HiCoin,XHI,hicoin,1,2016-05-04T00:00:00.000Z,2024-02-05T20:50:00.000Z,
1248,7576,Bitcoin 21,XBTC21,bitcoin-21,1,2016-05-05T17:55:00.000Z,2024-02-05T20:50:00.000Z,
1250,7577,Zurcoin,ZUR,zurcoin,1,2016-05-09T23:00:00.000Z,2024-02-05T20:50:00.000Z,
1252,7578,2GIVE,2GIVE,2give,1,2016-05-16T18:10:00.000Z,2024-02-05T20:45:00.000Z,
1254,6555,PlatinumBAR,XPTX,platinumbar,1,2016-05-17T16:45:00.000Z,2024-02-05T20:50:00.000Z,
1257,7357,LanaCoin,LANA,lanacoin,1,2016-05-18T22:30:00.000Z,2024-02-05T20:50:00.000Z,
1259,7579,PonziCoin,PONZI,ponzicoin,1,2016-05-18T22:30:00.000Z,2024-02-05T20:45:00.000Z,
1273,7580,Citadel,CTL,citadel,1,2016-06-02T14:45:00.000Z,2024-02-05T20:45:00.000Z,
1274,187,Waves,WAVES,waves,1,2016-06-02T21:10:00.000Z,2024-02-05T20:45:00.000Z,
1279,7581,PWR Coin,PWR,powercoin,1,2016-06-04T13:10:00.000Z,2024-02-05T20:45:00.000Z,
1281,4892,ION,ION,ion,1,2016-06-08T22:10:00.000Z,2024-02-05T20:50:00.000Z,
1282,7582,High Voltage,HVCO,high-voltage,1,2016-06-08T22:10:00.000Z,2024-02-05T20:45:00.000Z,
1285,7583,GoldBlocks,GB,goldblocks,1,2016-06-14T17:15:00.000Z,2024-02-05T20:50:00.000Z,
1291,7584,Comet,CMT,comet,1,2016-06-26T19:35:00.000Z,2024-02-05T20:50:00.000Z,
1297,6638,ChessCoin,CHESS,chesscoin,1,2016-07-02T03:40:00.000Z,2024-02-05T20:50:00.000Z,
1298,1341,LBRY Credits,LBC,library-credits,1,2016-07-07T05:20:00.000Z,2024-02-05T20:50:00.000Z,
1299,1666,PUTinCoin,PUT,putincoin,1,2016-07-07T05:20:00.000Z,2024-02-05T20:50:00.000Z,
1306,7585,Cryptojacks,CJ,cryptojacks,1,2016-07-11T19:10:00.000Z,2024-02-05T20:50:00.000Z,
1312,524,Steem Dollars,SBD,steem-dollars,1,2016-07-18T20:50:00.000Z,2024-02-05T20:45:00.000Z,
1320,393,Ardor,ARDR,ardor,1,2016-07-23T14:40:00.000Z,2024-02-05T20:50:00.000Z,
1321,23,Ethereum Classic,ETC,ethereum-classic,1,2016-07-24T13:40:00.000Z,2024-02-05T20:50:00.000Z,
1343,286,Stratis,STRAX,stratis,1,2016-08-12T01:45:00.000Z,2024-02-05T20:45:00.000Z,
1351,7586,Aces,ACES,aces,1,2016-08-19T17:25:00.000Z,2024-02-05T20:45:00.000Z,
1353,7587,TajCoin,TAJ,tajcoin,1,2016-08-19T17:25:00.000Z,2024-02-05T20:45:00.000Z,
1368,7588,Veltor,VLT,veltor,1,2016-09-03T22:15:00.000Z,2024-02-05T20:50:00.000Z,
1376,79,Neo,NEO,neo,1,2016-09-09T03:05:00.000Z,2024-02-05T20:45:00.000Z,
1382,6003,NoLimitCoin,NLC,nolimitcoin,1,2016-09-12T18:15:00.000Z,2024-02-05T20:50:00.000Z,
1389,7589,Zayedcoin,ZYD,zayedcoin,1,2016-09-17T22:55:00.000Z,2024-02-05T20:50:00.000Z,
1392,982,Pluton,PLU,pluton,1,2016-09-17T22:55:00.000Z,2024-02-05T20:50:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd8912c10681d8b21fd3742244f44658dba12264e'}"
1395,7590,Dollarcoin,DLC,dollarcoin,1,2016-09-21T21:25:00.000Z,2024-02-05T20:50:00.000Z,
1396,7591,MustangCoin,MST,mustangcoin,1,2016-09-21T21:25:00.000Z,2024-02-05T20:50:00.000Z,
1414,744,Firo,FIRO,firo,1,2016-10-06T20:30:00.000Z,2024-02-05T20:50:00.000Z,
1437,137,Zcash,ZEC,zcash,1,2016-10-29T15:15:00.000Z,2024-02-05T20:50:00.000Z,
1439,7371,AllSafe,ASAFE,allsafe,1,2016-10-29T16:40:00.000Z,2024-02-05T20:45:00.000Z,
1447,1626,ZClassic,ZCL,zclassic,1,2016-11-10T00:15:00.000Z,2024-02-05T20:50:00.000Z,
1455,233,Golem,GLM,golem-network-tokens,1,2016-11-18T07:30:00.000Z,2024-02-05T20:50:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429'}"
1466,1663,Hush,HUSH,hush,1,2016-12-01T19:30:00.000Z,2024-02-05T20:50:00.000Z,
1468,7592,Kurrent,KURT,kurrent,1,2016-12-01T19:30:00.000Z,2024-02-05T20:50:00.000Z,
1473,1997,Pascal,PASC,pascal,1,2016-12-07T02:20:00.000Z,2024-02-05T20:50:00.000Z,
1474,7593,Eternity,ENT,eternity,1,2016-12-07T02:20:00.000Z,2024-02-05T20:45:00.000Z,
1492,998,Obyte,GBYTE,obyte,1,2016-12-27T20:50:00.000Z,2024-02-05T20:50:00.000Z,
1495,7594,PoSW Coin,POSW,posw-coin,1,2017-01-03T16:40:00.000Z,2024-02-05T20:50:00.000Z,
1500,7595,Wings,WINGS,wings,1,2017-01-11T15:00:00.000Z,2024-02-05T20:50:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x667088b212ce3d06a1b553a7221E1fD19000d9aF'}"
1503,2757,Jupiter,JUP,jupiter,1,2017-01-12T04:25:00.000Z,2024-02-05T20:50:00.000Z,
